year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,12,7,1154,-6,1356,-4,US,N122US,725,JFK,CLT,101,541,11,54
2013,4,24,2253,123,5,101,EV,N14562,3852,EWR,BUF,53,282,22,53
2013,6,8,1839,-1,2120,-12,DL,N3751B,1629,JFK,LAS,319,2248,18,39
2013,10,8,821,-8,1007,-22,MQ,N528MQ,3478,LGA,DTW,77,502,8,21
2013,11,1,1058,-2,1227,-23,WN,N266WN,1341,LGA,BNA,124,764,10,58
2013,9,18,933,-7,1037,-43,AA,N514AA,317,LGA,ORD,101,733,9,33
2013,7,5,920,5,1204,-6,AA,N328AA,1,JFK,LAX,302,2475,9,20
2013,7,25,752,-3,917,2,MQ,N6EAMQ,3709,EWR,ORD,103,719,7,52
2013,12,24,838,38,1104,32,UA,N556UA,561,LGA,DEN,237,1620,8,38
2013,4,12,840,20,1240,28,B6,N655JB,403,JFK,SJU,186,1598,8,40
2013,5,13,1825,-4,2000,-35,DL,N919DE,2131,LGA,DTW,77,502,18,25
2013,12,18,730,0,1038,-2,AA,N3KCAA,29,LGA,PBI,140,1035,7,30
2013,7,21,2231,121,2332,96,9E,N8488D,4218,JFK,PHL,25,94,22,31
2013,8,22,1108,-7,1352,-12,UA,N597UA,703,JFK,LAX,292,2475,11,8
2013,3,13,1229,89,1342,87,MQ,N511MQ,3792,JFK,DCA,53,213,12,29
2013,10,27,1944,15,2112,17,EV,N12569,4224,EWR,MKE,117,725,19,44
2013,3,21,1850,30,2020,25,WN,N280WN,962,LGA,BNA,116,764,18,50
2013,11,27,1421,-8,1709,6,B6,N316JB,477,JFK,JAX,148,828,14,21
2013,11,4,1822,413,2143,434,AA,N3GRAA,1139,LGA,DFW,210,1389,18,22
2013,1,8,902,-3,1006,-17,B6,N281JB,56,JFK,BTV,47,266,9,2
2013,9,9,1821,8,2053,-35,UA,N24202,1416,EWR,SNA,307,2434,18,21
2013,3,27,1158,-2,1455,-16,DL,N721TW,863,JFK,LAX,336,2475,11,58
2013,3,5,756,-4,1011,11,B6,N353JB,219,JFK,CLT,86,541,7,56
2013,12,26,958,-7,1141,-14,MQ,N817MQ,3572,LGA,CLE,78,419,9,58
2013,12,9,1922,-8,2234,-2,DL,N989DL,1485,LGA,MCO,149,950,19,22
2013,11,8,818,8,1114,8,UA,N37409,1148,EWR,TPA,149,997,8,18
2013,4,24,1539,-2,1814,-14,UA,N73291,1110,EWR,LAS,316,2227,15,39
2013,11,30,807,-8,1103,-20,B6,N179JB,281,JFK,HOU,214,1428,8,7
2013,9,28,750,-5,849,-21,MQ,N807MQ,3370,JFK,DCA,39,213,7,50
2013,7,1,2007,82,2123,53,AA,N547AA,359,LGA,ORD,112,733,20,7
2013,9,29,2003,-2,2108,-22,MQ,N509MQ,3604,EWR,ORD,103,719,20,3
2013,4,15,625,-5,752,-13,AA,N589AA,303,LGA,ORD,118,733,6,25
2013,7,21,1012,-8,1149,-17,US,N122US,1501,EWR,CLT,79,529,10,12
2013,10,30,1042,24,1219,4,EV,N11127,4297,EWR,DTW,80,488,10,42
2013,2,6,1637,-3,1851,1,MQ,N725MQ,4540,LGA,DTW,92,502,16,37
2013,8,11,2055,11,50,8,UA,N76514,1071,EWR,BQN,196,1585,20,55
2013,6,20,2020,13,2257,-2,B6,N598JB,1505,JFK,ABQ,232,1826,20,20
2013,5,26,1417,-8,1529,-21,B6,N184JB,8,JFK,BUF,56,301,14,17
2013,9,8,1818,4,1958,2,UA,N33266,1053,EWR,CLE,65,404,18,18
2013,10,2,2243,-7,2359,-8,B6,N183JB,2002,JFK,BUF,58,301,22,43
2013,7,26,1433,4,1753,54,MQ,N527MQ,3669,LGA,ATL,115,762,14,33
2013,5,25,1610,-5,1827,-13,MQ,N525MQ,4657,LGA,ATL,102,762,16,10
2013,12,6,2052,-8,2238,32,US,N957UW,2164,LGA,BOS,40,184,20,52
2013,8,7,850,-5,1122,-34,UA,N39726,1058,LGA,IAH,177,1416,8,50
2013,3,25,1329,-1,1615,-25,AA,N3JYAA,753,LGA,DFW,206,1389,13,29
2013,7,10,1153,-7,1303,-6,US,N955UW,2126,LGA,BOS,32,184,11,53
2013,11,24,553,-7,734,-9,EV,N14923,5824,EWR,CLE,75,404,5,53
2013,11,20,2044,4,2243,-19,EV,N13132,4085,EWR,OMA,163,1134,20,44
2013,11,13,1233,-7,1345,-11,9E,N908XJ,3371,LGA,SYR,42,198,12,33
2013,12,3,2126,-4,2229,-16,MQ,N817MQ,3621,JFK,DCA,39,213,21,26
2013,1,15,1947,167,2241,171,AA,N5EGAA,575,JFK,EGE,265,1747,19,47
2013,8,28,2153,143,13,109,DL,N387DA,1485,LGA,MCO,116,950,21,53
2013,4,8,1325,-5,1608,2,B6,N354JB,127,EWR,MCO,130,937,13,25
2013,7,8,1732,23,2034,40,B6,N565JB,327,EWR,MCO,138,937,17,32
2013,1,1,1454,-4,1554,-21,EV,N11544,4390,EWR,PWM,47,284,14,54
2013,11,4,1022,-8,1139,-5,EV,N18102,6181,EWR,IAD,45,212,10,22
2013,5,6,1016,-4,1158,-18,9E,N916XJ,3341,EWR,DTW,80,488,10,16
2013,2,11,2329,179,312,203,B6,N183JB,1069,JFK,AUS,261,1521,23,29
2013,10,21,2017,-5,2154,-6,UA,N26208,1464,EWR,CLE,68,404,20,17
2013,7,1,758,-2,1154,-6,AA,N5FGAA,655,JFK,STT,198,1623,7,58
2013,9,9,2058,-10,2256,-32,B6,N206JB,775,JFK,MSY,146,1182,20,58
2013,9,28,1652,32,2013,33,AA,N3DYAA,1410,LGA,MIA,138,1096,16,52
2013,7,29,1648,7,1909,-4,EV,N14907,3854,EWR,ATL,105,746,16,48
2013,4,6,923,-6,1019,-25,EV,N12563,4636,EWR,DCA,41,199,9,23
2013,4,21,1640,-5,1835,-23,9E,N8960A,3881,EWR,CVG,93,569,16,40
2013,6,2,2235,100,118,79,UA,N406UA,492,EWR,FLL,138,1065,22,35
2013,7,4,1125,0,1411,-29,AA,N3BNAA,2099,LGA,MIA,150,1096,11,25
2013,8,1,611,-3,800,-8,US,N107US,2063,JFK,CLT,81,541,6,11
2013,6,20,1729,23,1903,15,EV,N27962,5977,EWR,RDU,68,416,17,29
2013,1,30,1306,-9,1430,-1,EV,N13969,4120,EWR,BUF,61,282,13,6
2013,6,30,1931,116,2209,99,AA,N3FXAA,1901,JFK,IAH,193,1417,19,31
2013,12,30,1154,9,1338,23,WN,N961WN,172,LGA,MDW,123,725,11,54
2013,7,17,648,-2,923,-8,B6,N594JB,525,JFK,TPA,132,1005,6,48
2013,11,7,1242,52,1410,45,WN,N423WN,3566,LGA,BNA,130,764,12,42
2013,5,1,848,-2,1220,-28,DL,N721TW,301,JFK,SJU,189,1598,8,48
2013,11,21,1153,-2,1415,-10,UA,N803UA,586,EWR,DEN,238,1605,11,53
2013,10,3,716,-9,951,-24,AA,N4YSAA,1381,EWR,DFW,184,1372,7,16
2013,6,9,1914,-2,2234,9,UA,N26208,1439,EWR,LAX,317,2454,19,14
2013,6,11,556,-9,911,1,AA,N3EXAA,1837,LGA,MIA,160,1096,5,56
2013,4,12,1336,-4,1653,13,AA,N3DBAA,753,LGA,DFW,210,1389,13,36
2013,6,2,732,-8,943,-21,B6,N368JB,611,JFK,JAX,116,828,7,32
2013,12,11,939,-6,1306,6,AA,N542AA,1223,EWR,DFW,231,1372,9,39
2013,10,11,1010,10,1257,23,9E,N922XJ,3574,LGA,IND,90,660,10,10
2013,9,16,1730,-5,2008,-2,UA,N27421,1580,EWR,LAS,285,2227,17,30
